Employee_ID,Exit_Date,Primary_Reason_for_Leaving,Secondary_Reason,Like_Most_About_Company,Improvement_Areas
E-00427,2022-09-22 12:29:33.944722471,Work-Life Balance,Commute,Supportive team environment.,Reduce micromanagement.
E-00435,2024-01-02 01:59:34.470516877,Job Role Mismatch,Company Culture,Company values and mission.,More transparency in promotion decisions.
E-03373,2021-03-08 10:14:46.121127840,Management,Burnout,Flexible work arrangements.,Better leadership communication.
E-08971,2024-03-16 21:56:42.142697703,Management,Company Culture,The people and the challenging projects.,Better leadership communication.
E-04489,2023-02-07 06:38:04.381638287,Career Growth,Lack of Training,Learning opportunities.,Reduce micromanagement.
E-04589,2020-10-09 06:09:10.614677701,Compensation,Company Culture,Flexible work arrangements.,Better leadership communication.
E-08431,2021-01-07 01:57:27.671837940,Career Growth,Lack of Training,The people and the challenging projects.,Better leadership communication.
E-04066,2019-08-05 05:41:10.105038354,Work-Life Balance,Lack of Training,Learning opportunities.,Offer more career development programs.
E-00929,2022-12-24 07:05:15.339052780,Work-Life Balance,Lack of Training,The people and the challenging projects.,Offer more career development programs.
E-03692,2019-02-06 08:40:08.075331026,Job Role Mismatch,Lack of Training,Learning opportunities.,More transparency in promotion decisions.
E-06630,2018-04-16 14:09:55.183857436,Job Role Mismatch,Lack of Training,Learning opportunities.,Better leadership communication.
E-06749,2022-04-03 22:37:42.247122478,Work-Life Balance,Poor Leadership,Learning opportunities.,Improve compensation structure.
E-00343,2023-08-06 04:40:42.763105305,Work-Life Balance,Company Culture,The people and the challenging projects.,Better leadership communication.
E-01125,2019-10-22 23:06:54.321810458,Work-Life Balance,Poor Leadership,Learning opportunities.,Better leadership communication.
E-01935,2019-01-15 13:25:31.090894840,Career Growth,Poor Leadership,Flexible work arrangements.,More transparency in promotion decisions.
E-01452,2022-11-20 15:24:00.702908627,Work-Life Balance,Commute,Company values and mission.,Improve compensation structure.
E-03414,2018-11-03 23:00:48.281499494,Management,Commute,Company values and mission.,Better leadership communication.
E-01397,2024-09-30 12:59:19.367787396,Compensation,Commute,Learning opportunities.,Improve compensation structure.
E-01166,2022-01-24 18:18:10.346021774,Work-Life Balance,Burnout,Company values and mission.,Offer more career development programs.
E-06399,2022-01-06 09:24:13.785833588,Compensation,Commute,Company values and mission.,Offer more career development programs.
E-06477,2023-03-22 08:26:58.737402763,Career Growth,Company Culture,Learning opportunities.,Improve compensation structure.
E-00365,2010-07-16 10:04:37.338003402,Compensation,Poor Leadership,Learning opportunities.,Better leadership communication.
E-01280,2024-01-18 12:07:47.229522101,Career Growth,Company Culture,Flexible work arrangements.,Improve compensation structure.
E-09976,2016-05-22 22:15:17.559149842,Management,Commute,Supportive team environment.,Improve compensation structure.
E-02982,2015-09-19 05:40:49.931494915,Career Growth,Burnout,The people and the challenging projects.,Offer more career development programs.
E-06480,2019-12-06 13:16:56.461065173,Career Growth,Burnout,Learning opportunities.,Improve compensation structure.
E-03453,2023-10-23 02:33:37.127030727,Job Role Mismatch,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-09606,2023-07-10 14:01:35.093691393,Work-Life Balance,Company Culture,Company values and mission.,Reduce micromanagement.
E-05205,2014-10-30 21:34:18.365948206,Work-Life Balance,Lack of Training,Flexible work arrangements.,Offer more career development programs.
E-05282,2018-06-10 07:10:33.726903403,Management,Company Culture,Company values and mission.,Better leadership communication.
E-09489,2013-09-12 19:49:46.353187651,Management,Commute,Learning opportunities.,Better leadership communication.
E-08226,2020-04-20 17:12:16.160555413,Work-Life Balance,Lack of Training,Learning opportunities.,Offer more career development programs.
E-05467,2024-04-22 08:58:38.955306316,Job Role Mismatch,Burnout,Company values and mission.,Better leadership communication.
E-04140,2011-07-21 00:31:59.332988040,Work-Life Balance,Poor Leadership,Learning opportunities.,More transparency in promotion decisions.
E-01940,2013-07-31 12:49:11.139051045,Job Role Mismatch,Poor Leadership,Supportive team environment.,Reduce micromanagement.
E-05756,2011-03-25 04:54:25.481356334,Management,Burnout,The people and the challenging projects.,More transparency in promotion decisions.
E-08562,2021-05-10 05:12:04.656540003,Compensation,Commute,The people and the challenging projects.,More transparency in promotion decisions.
E-08629,2020-10-13 02:45:24.899322625,Management,Burnout,The people and the challenging projects.,More transparency in promotion decisions.
E-02516,2022-01-19 22:08:01.411009076,Management,Commute,Supportive team environment.,Offer more career development programs.
E-03516,2023-09-06 15:24:50.585744862,Career Growth,Lack of Training,Learning opportunities.,More transparency in promotion decisions.
E-03632,2017-01-28 00:24:53.293710406,Career Growth,Burnout,Company values and mission.,Improve compensation structure.
E-08121,2023-02-15 11:52:50.537618630,Career Growth,Commute,Flexible work arrangements.,Better leadership communication.
E-09577,2019-09-16 04:47:11.732453712,Career Growth,Lack of Training,Learning opportunities.,Offer more career development programs.
E-03479,2024-03-13 18:04:24.986971464,Job Role Mismatch,Burnout,Supportive team environment.,Improve compensation structure.
E-09944,2012-11-03 16:53:55.892505018,Work-Life Balance,Poor Leadership,Supportive team environment.,Improve compensation structure.
E-07446,2019-03-09 06:51:25.479170233,Compensation,Burnout,The people and the challenging projects.,Reduce micromanagement.
E-02644,2021-08-17 03:59:08.738702510,Management,Company Culture,Learning opportunities.,Reduce micromanagement.
E-03791,2016-10-08 13:26:03.026849123,Job Role Mismatch,Burnout,The people and the challenging projects.,Improve compensation structure.
E-07363,2024-07-29 08:33:45.994237145,Compensation,Company Culture,Flexible work arrangements.,Reduce micromanagement.
E-08114,2024-05-18 17:32:31.564003297,Job Role Mismatch,Lack of Training,The people and the challenging projects.,Better leadership communication.
E-06976,2022-07-10 17:26:26.168867718,Job Role Mismatch,Burnout,Flexible work arrangements.,Better leadership communication.
E-06631,2022-08-28 21:44:14.694409682,Management,Lack of Training,Supportive team environment.,Reduce micromanagement.
E-03419,2019-08-16 02:33:32.557874970,Work-Life Balance,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
E-06177,2022-10-09 08:25:24.133358958,Career Growth,Commute,The people and the challenging projects.,Improve compensation structure.
E-06798,2021-09-07 09:43:55.730636771,Work-Life Balance,Lack of Training,Company values and mission.,Better leadership communication.
E-01552,2020-08-30 10:35:28.911166087,Management,Lack of Training,Supportive team environment.,Reduce micromanagement.
E-08652,2024-05-21 19:33:13.308525492,Management,Burnout,Company values and mission.,Reduce micromanagement.
E-00178,2022-12-25 05:04:50.019694757,Management,Burnout,Flexible work arrangements.,Better leadership communication.
E-08790,2022-09-18 06:07:44.521044464,Compensation,Poor Leadership,Flexible work arrangements.,Better leadership communication.
E-08665,2023-08-07 05:55:05.074412435,Work-Life Balance,Commute,Supportive team environment.,More transparency in promotion decisions.
E-07875,2020-03-20 17:29:14.393130008,Work-Life Balance,Lack of Training,Flexible work arrangements.,Reduce micromanagement.
E-09143,2022-04-13 12:47:50.838038407,Job Role Mismatch,Commute,Supportive team environment.,Reduce micromanagement.
E-03503,2024-02-25 07:51:28.706039552,Job Role Mismatch,Company Culture,Flexible work arrangements.,Offer more career development programs.
E-09779,2010-10-06 14:39:20.917422748,Job Role Mismatch,Lack of Training,Learning opportunities.,More transparency in promotion decisions.
E-08186,2018-07-25 08:10:21.378066343,Management,Commute,The people and the challenging projects.,Better leadership communication.
E-04032,2019-07-26 01:15:57.138772711,Work-Life Balance,Poor Leadership,Learning opportunities.,Better leadership communication.
E-00854,2024-07-20 05:04:48.933557281,Management,Poor Leadership,Supportive team environment.,Improve compensation structure.
E-00106,2021-07-18 17:09:18.353227186,Compensation,Lack of Training,Supportive team environment.,Better leadership communication.
E-01911,2024-04-19 02:59:06.041549560,Job Role Mismatch,Company Culture,Learning opportunities.,Reduce micromanagement.
E-02014,2024-01-18 00:17:43.432445872,Management,Poor Leadership,The people and the challenging projects.,Better leadership communication.
E-05500,2024-04-12 15:24:30.595321168,Management,Poor Leadership,The people and the challenging projects.,Reduce micromanagement.
E-02317,2024-11-13 02:23:13.380376913,Compensation,Company Culture,Company values and mission.,Reduce micromanagement.
E-03125,2016-11-15 19:05:59.232046003,Career Growth,Commute,Flexible work arrangements.,More transparency in promotion decisions.
E-04558,2023-05-11 13:28:49.043234539,Work-Life Balance,Poor Leadership,Company values and mission.,Better leadership communication.
E-07748,2019-06-19 11:57:10.342822792,Career Growth,Burnout,The people and the challenging projects.,More transparency in promotion decisions.
E-05124,2016-05-26 03:44:05.889842314,Job Role Mismatch,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-00216,2021-01-19 04:44:00.743377078,Management,Commute,Flexible work arrangements.,Better leadership communication.
E-04270,2022-06-27 03:49:33.723071290,Compensation,Commute,Learning opportunities.,Better leadership communication.
E-02219,2020-08-15 20:21:45.660817577,Compensation,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-05554,2024-11-30 02:08:22.531496103,Work-Life Balance,Burnout,Supportive team environment.,More transparency in promotion decisions.
E-00646,2019-05-02 12:19:18.474259597,Career Growth,Commute,Learning opportunities.,Reduce micromanagement.
E-03485,2022-03-03 01:51:05.341342043,Work-Life Balance,Company Culture,Company values and mission.,Reduce micromanagement.
E-08569,2024-10-20 15:48:28.296419468,Management,Burnout,Company values and mission.,Better leadership communication.
E-02835,2021-04-06 16:56:15.148923172,Work-Life Balance,Burnout,Company values and mission.,Better leadership communication.
E-03025,2016-07-28 08:35:58.218905597,Compensation,Company Culture,Supportive team environment.,Offer more career development programs.
E-01164,2022-07-15 13:52:23.136430819,Compensation,Poor Leadership,Supportive team environment.,Offer more career development programs.
E-02557,2017-11-18 19:38:26.617975404,Job Role Mismatch,Company Culture,Supportive team environment.,Improve compensation structure.
E-07469,2017-08-01 13:43:04.565160545,Job Role Mismatch,Company Culture,Flexible work arrangements.,Reduce micromanagement.
E-05408,2022-03-08 01:20:36.436138808,Management,Poor Leadership,Supportive team environment.,Improve compensation structure.
E-07807,2020-09-03 15:38:30.274514234,Career Growth,Poor Leadership,Supportive team environment.,Improve compensation structure.
E-01588,2016-08-23 01:01:10.206763524,Work-Life Balance,Poor Leadership,Supportive team environment.,More transparency in promotion decisions.
E-03589,2015-08-13 23:53:49.330580101,Management,Poor Leadership,Learning opportunities.,More transparency in promotion decisions.
E-01167,2022-10-19 19:58:55.998841687,Job Role Mismatch,Poor Leadership,Supportive team environment.,Offer more career development programs.
E-01601,2021-05-17 23:34:07.095702837,Work-Life Balance,Company Culture,Flexible work arrangements.,Improve compensation structure.
E-01203,2014-11-21 14:43:53.194237630,Job Role Mismatch,Lack of Training,Company values and mission.,Offer more career development programs.
E-05889,2021-02-10 14:59:58.568016905,Work-Life Balance,Lack of Training,Learning opportunities.,Reduce micromanagement.
E-07643,2023-06-15 23:22:27.318105773,Career Growth,Commute,The people and the challenging projects.,Better leadership communication.
E-09539,2024-07-29 17:41:33.652084438,Management,Lack of Training,Supportive team environment.,More transparency in promotion decisions.
E-03641,2024-03-22 20:57:29.541273240,Work-Life Balance,Lack of Training,Company values and mission.,Reduce micromanagement.
E-01763,2013-01-30 22:39:24.415107099,Compensation,Company Culture,Company values and mission.,Reduce micromanagement.
E-01750,2022-12-29 19:17:33.507849672,Compensation,Poor Leadership,Learning opportunities.,More transparency in promotion decisions.
E-07839,2023-10-26 12:08:42.403984293,Work-Life Balance,Poor Leadership,The people and the challenging projects.,More transparency in promotion decisions.
E-05233,2024-04-02 12:56:50.456832068,Work-Life Balance,Company Culture,Flexible work arrangements.,Improve compensation structure.
E-08732,2017-02-28 09:30:51.499839126,Work-Life Balance,Lack of Training,Company values and mission.,Offer more career development programs.
E-06151,2024-08-09 06:26:53.915505477,Compensation,Company Culture,Company values and mission.,Reduce micromanagement.
E-06710,2019-02-09 14:02:53.822971953,Compensation,Commute,Company values and mission.,Improve compensation structure.
E-08441,2023-01-05 05:34:29.450122391,Work-Life Balance,Poor Leadership,Company values and mission.,Improve compensation structure.
E-06970,2014-04-26 02:46:15.493886454,Job Role Mismatch,Burnout,Learning opportunities.,Reduce micromanagement.
E-03103,2023-08-25 05:41:33.879903293,Job Role Mismatch,Commute,The people and the challenging projects.,Reduce micromanagement.
E-01468,2024-08-11 10:20:47.920998007,Career Growth,Commute,Company values and mission.,Better leadership communication.
E-06686,2024-05-18 11:15:26.635651579,Management,Company Culture,Flexible work arrangements.,Offer more career development programs.
E-05135,2021-06-27 19:40:36.553230871,Job Role Mismatch,Lack of Training,Flexible work arrangements.,Reduce micromanagement.
E-00499,2022-07-16 22:36:39.703056364,Compensation,Poor Leadership,Supportive team environment.,More transparency in promotion decisions.
E-00645,2019-08-03 07:45:20.759894225,Job Role Mismatch,Burnout,Company values and mission.,Better leadership communication.
E-00938,2024-10-17 07:43:52.178258333,Career Growth,Commute,Company values and mission.,Offer more career development programs.
E-00243,2023-02-23 23:55:43.240597530,Career Growth,Burnout,Company values and mission.,More transparency in promotion decisions.
E-02002,2024-05-31 00:15:59.407859266,Management,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-09995,2022-12-28 12:45:44.301730609,Job Role Mismatch,Lack of Training,Company values and mission.,Offer more career development programs.
E-06431,2020-01-02 13:45:00.924435524,Compensation,Burnout,Flexible work arrangements.,Better leadership communication.
E-00604,2024-08-19 04:50:42.575688158,Compensation,Poor Leadership,The people and the challenging projects.,More transparency in promotion decisions.
E-03131,2018-12-18 21:52:27.152362312,Work-Life Balance,Lack of Training,The people and the challenging projects.,Improve compensation structure.
E-02544,2024-09-09 01:55:59.913883282,Compensation,Burnout,Supportive team environment.,Offer more career development programs.
E-01261,2024-09-10 05:33:29.052182657,Management,Commute,Flexible work arrangements.,Offer more career development programs.
E-03363,2022-04-30 19:35:57.764438346,Management,Burnout,Company values and mission.,Reduce micromanagement.
E-01793,2023-06-18 13:25:10.644479353,Compensation,Burnout,The people and the challenging projects.,Better leadership communication.
E-09305,2013-10-13 12:52:13.883339026,Compensation,Company Culture,Learning opportunities.,Improve compensation structure.
E-08777,2016-11-24 20:17:06.633044795,Work-Life Balance,Lack of Training,Learning opportunities.,Improve compensation structure.
E-03167,2021-11-10 17:41:51.088511163,Compensation,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-05840,2021-01-31 17:48:40.586752177,Work-Life Balance,Poor Leadership,Company values and mission.,More transparency in promotion decisions.
E-09295,2019-01-04 00:41:24.242259378,Work-Life Balance,Company Culture,Company values and mission.,More transparency in promotion decisions.
E-02693,2020-03-22 11:51:07.876658030,Compensation,Poor Leadership,Supportive team environment.,Improve compensation structure.
E-00140,2023-09-03 14:13:04.684977609,Career Growth,Burnout,Supportive team environment.,Better leadership communication.
E-03370,2020-02-22 09:28:51.153522620,Career Growth,Company Culture,Supportive team environment.,More transparency in promotion decisions.
E-06089,2024-07-25 00:51:58.771086894,Work-Life Balance,Commute,Learning opportunities.,Offer more career development programs.
E-09464,2017-09-22 07:41:38.793153761,Compensation,Lack of Training,Company values and mission.,Reduce micromanagement.
E-07318,2023-08-01 08:38:55.622426550,Career Growth,Lack of Training,Learning opportunities.,Better leadership communication.
E-05514,2022-07-01 22:15:51.346530318,Compensation,Lack of Training,Supportive team environment.,More transparency in promotion decisions.
E-02262,2024-05-12 11:30:38.965779486,Compensation,Burnout,Company values and mission.,Improve compensation structure.
E-05093,2023-10-01 09:28:34.959962530,Compensation,Commute,Flexible work arrangements.,Reduce micromanagement.
E-04950,2021-12-06 05:05:23.688787507,Job Role Mismatch,Company Culture,The people and the challenging projects.,More transparency in promotion decisions.
E-04479,2024-06-17 05:42:58.737273482,Compensation,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-06003,2015-02-04 07:21:07.926595795,Job Role Mismatch,Lack of Training,Supportive team environment.,More transparency in promotion decisions.
E-07336,2021-07-21 13:40:22.013498074,Work-Life Balance,Commute,Learning opportunities.,Reduce micromanagement.
E-00197,2021-03-28 21:01:33.657091881,Career Growth,Commute,Flexible work arrangements.,Offer more career development programs.
E-06520,2012-01-30 12:14:32.884592334,Career Growth,Commute,Company values and mission.,Offer more career development programs.
E-07041,2023-06-15 14:07:56.865477457,Career Growth,Poor Leadership,Learning opportunities.,Improve compensation structure.
E-06119,2017-08-12 14:54:35.940859484,Career Growth,Poor Leadership,Supportive team environment.,Offer more career development programs.
E-08961,2020-03-08 10:43:58.431051520,Career Growth,Lack of Training,Learning opportunities.,Reduce micromanagement.
E-06643,2015-06-29 13:46:31.265490238,Career Growth,Commute,Supportive team environment.,Improve compensation structure.
E-05115,2021-09-28 09:14:39.775352475,Career Growth,Commute,The people and the challenging projects.,More transparency in promotion decisions.
E-07413,2022-05-06 15:24:06.847170608,Work-Life Balance,Company Culture,The people and the challenging projects.,Better leadership communication.
E-07217,2019-11-22 18:18:21.860082039,Compensation,Company Culture,Learning opportunities.,More transparency in promotion decisions.
E-05801,2021-01-19 22:42:53.687845384,Management,Lack of Training,Flexible work arrangements.,Reduce micromanagement.
E-06570,2024-07-11 16:22:18.829419991,Job Role Mismatch,Commute,Company values and mission.,Improve compensation structure.
E-08282,2021-11-15 23:34:03.875228295,Management,Lack of Training,Supportive team environment.,More transparency in promotion decisions.
E-05975,2023-05-02 20:11:24.338889527,Management,Company Culture,Company values and mission.,Improve compensation structure.
E-01162,2022-07-02 16:51:08.801748995,Compensation,Company Culture,The people and the challenging projects.,Offer more career development programs.
E-00658,2024-04-26 11:30:11.718087232,Compensation,Poor Leadership,Flexible work arrangements.,Better leadership communication.
E-01259,2015-07-22 07:17:54.209501447,Compensation,Lack of Training,Flexible work arrangements.,Reduce micromanagement.
E-05451,2022-01-24 13:47:58.945761473,Career Growth,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-04044,2012-02-18 02:04:08.359521112,Work-Life Balance,Commute,The people and the challenging projects.,Better leadership communication.
E-07488,2021-11-16 01:57:14.278417170,Career Growth,Commute,Company values and mission.,Reduce micromanagement.
E-06118,2018-06-18 16:55:44.688123039,Work-Life Balance,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-07097,2023-06-12 02:34:22.717236961,Work-Life Balance,Burnout,Flexible work arrangements.,Offer more career development programs.
E-01150,2019-06-15 22:05:09.837820284,Management,Burnout,Flexible work arrangements.,Improve compensation structure.
E-00506,2021-05-04 09:31:49.908856174,Management,Burnout,Learning opportunities.,Improve compensation structure.
E-03852,2020-10-24 03:30:56.277813257,Work-Life Balance,Lack of Training,The people and the challenging projects.,Better leadership communication.
E-01528,2017-05-10 00:45:41.078804088,Work-Life Balance,Lack of Training,Flexible work arrangements.,Offer more career development programs.
E-03702,2021-08-10 10:35:59.678255258,Career Growth,Company Culture,Supportive team environment.,Reduce micromanagement.
E-03042,2022-09-14 23:16:14.115761503,Career Growth,Lack of Training,Supportive team environment.,Offer more career development programs.
E-00209,2019-04-26 11:30:54.341414172,Management,Lack of Training,The people and the challenging projects.,Offer more career development programs.
E-00540,2022-06-30 15:08:04.870530012,Compensation,Lack of Training,Learning opportunities.,Better leadership communication.
E-01912,2020-07-12 22:14:00.674555386,Work-Life Balance,Poor Leadership,Company values and mission.,Improve compensation structure.
E-04023,2012-01-31 07:37:13.454613309,Career Growth,Lack of Training,The people and the challenging projects.,Offer more career development programs.
E-06158,2010-12-25 17:42:41.162748410,Management,Commute,Company values and mission.,Offer more career development programs.
E-00174,2012-08-26 17:56:31.388020349,Career Growth,Commute,The people and the challenging projects.,Offer more career development programs.
E-05297,2018-07-27 13:19:46.986382521,Work-Life Balance,Company Culture,Supportive team environment.,More transparency in promotion decisions.
E-03003,2023-02-12 10:36:26.804408805,Work-Life Balance,Poor Leadership,Learning opportunities.,Offer more career development programs.
E-01943,2023-09-28 10:19:54.015487803,Job Role Mismatch,Commute,Supportive team environment.,Offer more career development programs.
E-00598,2021-04-13 03:30:37.655697887,Compensation,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-05922,2019-12-16 09:46:23.801844587,Job Role Mismatch,Poor Leadership,Company values and mission.,More transparency in promotion decisions.
E-07824,2022-12-08 21:25:55.629368316,Management,Company Culture,The people and the challenging projects.,Offer more career development programs.
E-02151,2020-02-13 18:23:58.822351240,Career Growth,Poor Leadership,Flexible work arrangements.,Offer more career development programs.
E-05927,2021-07-22 17:20:32.663414744,Management,Lack of Training,Flexible work arrangements.,Better leadership communication.
E-03253,2019-10-01 18:12:30.389274019,Work-Life Balance,Poor Leadership,Learning opportunities.,Better leadership communication.
E-07472,2022-06-23 14:30:31.294288744,Job Role Mismatch,Company Culture,Learning opportunities.,More transparency in promotion decisions.
E-09473,2023-02-23 18:23:01.704012031,Job Role Mismatch,Company Culture,Supportive team environment.,Reduce micromanagement.
E-00802,2019-06-17 11:27:21.881719240,Job Role Mismatch,Company Culture,Flexible work arrangements.,More transparency in promotion decisions.
E-09609,2022-04-07 19:35:29.608442729,Management,Commute,Supportive team environment.,More transparency in promotion decisions.
E-08465,2023-05-01 01:16:54.110989588,Work-Life Balance,Lack of Training,Company values and mission.,Better leadership communication.
E-06168,2018-05-12 16:18:33.607080008,Career Growth,Commute,Flexible work arrangements.,Better leadership communication.
E-02115,2020-12-12 10:01:29.871859231,Career Growth,Burnout,Company values and mission.,Reduce micromanagement.
E-09219,2018-06-29 04:21:22.795148416,Management,Lack of Training,The people and the challenging projects.,Offer more career development programs.
E-01820,2023-05-01 23:44:24.552233334,Job Role Mismatch,Poor Leadership,Supportive team environment.,Reduce micromanagement.
E-09345,2016-10-09 11:01:02.333524292,Compensation,Company Culture,Learning opportunities.,Offer more career development programs.
E-02008,2023-03-27 04:41:56.199489552,Management,Burnout,Flexible work arrangements.,Improve compensation structure.
E-06757,2023-10-25 07:56:44.418718486,Management,Lack of Training,Supportive team environment.,Better leadership communication.
E-09104,2021-11-18 00:21:08.579152882,Work-Life Balance,Commute,Learning opportunities.,Improve compensation structure.
E-02091,2017-03-02 12:42:25.397469322,Career Growth,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-03220,2019-10-26 08:38:01.791443820,Management,Commute,Flexible work arrangements.,Better leadership communication.
E-07895,2017-05-11 12:28:23.201541974,Management,Lack of Training,Company values and mission.,Improve compensation structure.
E-03611,2017-10-20 01:01:23.272333377,Job Role Mismatch,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
E-07958,2024-04-09 23:29:06.760978862,Job Role Mismatch,Burnout,Learning opportunities.,Offer more career development programs.
E-07539,2023-09-09 16:52:19.971798558,Compensation,Poor Leadership,Flexible work arrangements.,Reduce micromanagement.
E-07611,2019-10-09 18:29:50.714631005,Work-Life Balance,Commute,Flexible work arrangements.,Better leadership communication.
E-04503,2023-10-08 18:28:19.374993948,Compensation,Burnout,The people and the challenging projects.,More transparency in promotion decisions.
E-07796,2023-04-04 18:28:39.692127137,Job Role Mismatch,Company Culture,Flexible work arrangements.,Reduce micromanagement.
E-09059,2021-06-21 06:18:04.245941928,Career Growth,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-09362,2016-05-08 22:44:55.968690257,Job Role Mismatch,Burnout,The people and the challenging projects.,Reduce micromanagement.
E-01404,2020-08-26 06:28:12.980020361,Work-Life Balance,Commute,Company values and mission.,Improve compensation structure.
E-08443,2023-04-04 09:42:21.323105411,Job Role Mismatch,Lack of Training,The people and the challenging projects.,Improve compensation structure.
E-07514,2014-07-15 03:51:43.725222924,Work-Life Balance,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-08997,2012-02-28 02:24:29.335933814,Work-Life Balance,Commute,Company values and mission.,Improve compensation structure.
E-08773,2023-12-30 00:52:38.133657393,Work-Life Balance,Poor Leadership,Learning opportunities.,More transparency in promotion decisions.
E-01813,2017-01-13 15:50:58.642225195,Work-Life Balance,Poor Leadership,Supportive team environment.,Improve compensation structure.
E-00593,2017-10-23 00:41:29.398035367,Work-Life Balance,Lack of Training,Supportive team environment.,Better leadership communication.
E-00384,2018-09-23 07:46:35.724897778,Career Growth,Lack of Training,Company values and mission.,Reduce micromanagement.
E-07702,2020-01-08 11:51:28.768753522,Compensation,Company Culture,Learning opportunities.,More transparency in promotion decisions.
E-00927,2017-11-16 17:02:14.364282896,Management,Company Culture,Flexible work arrangements.,Improve compensation structure.
E-04577,2022-06-10 04:19:21.974949776,Compensation,Lack of Training,Company values and mission.,Reduce micromanagement.
E-04161,2018-02-08 07:08:06.130109848,Work-Life Balance,Lack of Training,Supportive team environment.,More transparency in promotion decisions.
E-03164,2021-01-12 17:05:03.443891924,Career Growth,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-03942,2023-09-21 00:06:44.345948638,Job Role Mismatch,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
E-05380,2023-08-05 05:31:04.149770649,Career Growth,Burnout,Learning opportunities.,Offer more career development programs.
E-05276,2015-06-26 09:18:52.417020343,Work-Life Balance,Commute,Learning opportunities.,More transparency in promotion decisions.
E-01108,2021-10-30 16:26:13.551211973,Career Growth,Lack of Training,Supportive team environment.,Improve compensation structure.
E-06684,2023-01-23 13:21:06.531674163,Career Growth,Company Culture,Supportive team environment.,Reduce micromanagement.
E-00843,2021-10-17 07:03:00.824537750,Work-Life Balance,Burnout,Flexible work arrangements.,Reduce micromanagement.
E-04141,2021-08-03 00:46:07.930521246,Career Growth,Company Culture,Flexible work arrangements.,Reduce micromanagement.
E-02909,2022-12-18 23:16:50.393953867,Management,Burnout,Company values and mission.,Better leadership communication.
E-03088,2023-04-17 21:51:58.873837134,Management,Lack of Training,The people and the challenging projects.,Better leadership communication.
E-05113,2019-10-31 16:18:36.769158699,Career Growth,Commute,Flexible work arrangements.,Improve compensation structure.
E-04322,2021-09-13 09:45:24.301854057,Job Role Mismatch,Company Culture,Supportive team environment.,Offer more career development programs.
E-05526,2023-06-29 01:19:43.110328237,Work-Life Balance,Burnout,Learning opportunities.,Better leadership communication.
E-03505,2022-02-02 09:28:18.860253973,Management,Poor Leadership,Company values and mission.,More transparency in promotion decisions.
E-03076,2016-05-21 20:20:34.970228787,Job Role Mismatch,Lack of Training,Flexible work arrangements.,Improve compensation structure.
E-01000,2018-10-16 17:06:51.087813566,Career Growth,Commute,Learning opportunities.,Offer more career development programs.
E-04370,2020-03-25 06:10:07.944373024,Job Role Mismatch,Lack of Training,Learning opportunities.,More transparency in promotion decisions.
E-03268,2021-12-24 03:04:56.716889231,Compensation,Poor Leadership,Flexible work arrangements.,Reduce micromanagement.
E-05997,2024-06-15 11:11:02.182839793,Management,Commute,The people and the challenging projects.,Better leadership communication.
E-00962,2020-08-31 22:48:49.738661236,Career Growth,Poor Leadership,The people and the challenging projects.,More transparency in promotion decisions.
E-08071,2018-08-24 17:25:00.345022991,Work-Life Balance,Lack of Training,Company values and mission.,Offer more career development programs.
E-06677,2021-06-19 10:51:56.034286907,Career Growth,Burnout,The people and the challenging projects.,Improve compensation structure.
E-05626,2024-06-08 12:01:06.530684179,Work-Life Balance,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-03326,2017-02-26 21:25:25.835878729,Career Growth,Lack of Training,Supportive team environment.,Improve compensation structure.
E-07882,2019-05-07 10:33:01.367155399,Job Role Mismatch,Lack of Training,Flexible work arrangements.,Reduce micromanagement.
E-00984,2019-03-05 00:59:21.563811089,Job Role Mismatch,Company Culture,Learning opportunities.,Offer more career development programs.
E-02150,2019-01-01 00:05:14.865681070,Job Role Mismatch,Poor Leadership,Company values and mission.,Offer more career development programs.
E-04097,2018-03-05 15:13:11.316648475,Compensation,Poor Leadership,The people and the challenging projects.,Better leadership communication.
E-08631,2017-07-15 19:10:00.111150013,Work-Life Balance,Poor Leadership,Company values and mission.,Offer more career development programs.
E-08748,2024-03-18 03:17:37.256662241,Job Role Mismatch,Company Culture,Company values and mission.,More transparency in promotion decisions.
E-00155,2019-01-09 06:03:42.121337590,Compensation,Burnout,The people and the challenging projects.,More transparency in promotion decisions.
E-08643,2020-01-08 05:23:57.448754162,Work-Life Balance,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
