Employee_ID,Survey_Date,Engagement_Score,Satisfaction_Score,Work_Life_Balance,Relationship_with_Manager,Career_Development_Opportunities,Performance_Rating_2024,Performance_Rating_2023,Training_Hours_Last_Year,Projects_Completed
E-02044,2024-06-30,4.1,4.4,3.4,4.4,2.5,3.7,4.0,38,5
E-02045,2024-06-30,3.6,4.8,2.5,3.8,2.3,4.2,3.7,42,7
E-02046,2024-06-30,4.6,4.1,4.5,4.2,3.7,3.7,3.4,42,6
E-02047,2024-06-30,4.0,4.3,3.0,4.6,3.5,3.7,4.5,31,4
E-02048,2024-06-30,4.0,4.2,4.2,4.1,3.0,3.9,4.4,79,3
E-02049,2024-06-30,3.8,4.5,3.6,3.9,3.3,3.9,4.3,93,7
E-02050,2024-06-30,4.1,3.8,2.6,4.9,3.5,4.1,3.9,89,2
E-02051,2024-06-30,4.4,4.5,4.4,3.7,3.0,3.8,2.5,42,3
E-02052,2024-06-30,3.6,4.6,3.7,4.3,2.3,4.1,4.3,20,1
E-02053,2024-06-30,3.7,4.5,4.4,3.9,3.2,3.6,3.4,43,6
E-02054,2024-06-30,3.8,3.7,3.4,3.8,3.6,4.0,3.6,64,4
E-02055,2024-06-30,3.3,3.9,4.0,4.5,3.4,3.9,4.2,72,10
E-02056,2024-06-30,3.6,4.1,2.3,4.1,3.0,4.3,4.6,15,5
E-02057,2024-06-30,3.8,3.3,3.1,4.4,3.3,4.3,4.4,53,8
E-02058,2024-06-30,4.4,4.8,2.6,3.3,2.9,3.9,3.9,10,7
E-02059,2024-06-30,4.1,4.0,3.2,4.4,3.6,3.4,4.1,46,2
E-02060,2024-06-30,4.1,4.1,3.8,3.9,3.8,3.6,3.4,95,5
E-02061,2024-06-30,4.4,3.7,3.1,3.4,2.2,4.3,3.2,27,3
E-02062,2024-06-30,3.9,3.3,4.1,5.0,3.7,4.0,4.2,11,5
E-02063,2024-06-30,4.2,3.7,2.9,4.4,4.3,4.5,3.9,74,5
E-02064,2024-06-30,3.9,4.1,4.1,4.3,3.3,4.3,3.2,79,3
E-02065,2024-06-30,4.1,4.3,4.4,4.7,3.6,4.1,3.8,36,7
E-02066,2024-06-30,3.7,4.1,4.2,4.3,2.6,4.0,4.0,24,2
E-02067,2024-06-30,2.8,4.2,3.3,3.9,2.7,3.7,4.2,87,4
E-02068,2024-06-30,3.9,3.8,2.0,4.1,2.9,3.8,4.1,20,7
E-02069,2024-06-30,4.7,4.2,3.9,3.9,2.8,4.1,3.7,14,8
E-02070,2024-06-30,4.5,4.7,3.4,4.0,2.2,3.9,3.5,92,5
E-02071,2024-06-30,4.5,4.4,2.8,3.7,2.9,4.1,3.8,74,4
E-02072,2024-06-30,4.6,4.4,3.1,3.8,3.5,4.3,4.1,50,3
E-02073,2024-06-30,4.0,4.1,4.5,4.6,2.2,3.9,4.2,38,8
E-02074,2024-06-30,4.1,3.2,2.7,4.3,3.1,3.9,4.4,74,5
E-02075,2024-06-30,3.7,3.5,3.8,4.0,3.1,3.7,3.8,36,5
E-02076,2024-06-30,3.8,4.2,3.7,3.8,2.8,4.3,3.4,70,12
E-02077,2024-06-30,4.3,4.0,3.2,4.0,3.3,4.2,4.2,50,7
E-02078,2024-06-30,4.6,4.2,4.0,3.5,3.2,4.7,3.8,80,2
E-02079,2024-06-30,3.9,4.8,4.6,4.3,2.8,4.1,3.3,69,8
E-02080,2024-06-30,3.8,4.4,3.3,4.6,3.6,4.0,4.0,73,6
E-02081,2024-06-30,4.0,4.6,3.3,5.1,3.3,4.1,4.4,38,5
E-02082,2024-06-30,4.3,4.0,3.9,3.8,3.9,3.9,4.0,76,9
E-02083,2024-06-30,3.3,3.6,4.1,4.6,3.0,3.7,4.4,52,5
E-02084,2024-06-30,2.9,4.0,3.4,3.9,2.8,4.0,3.6,11,6
E-02085,2024-06-30,3.7,3.6,3.3,3.7,2.9,4.1,3.5,59,8
E-02086,2024-06-30,3.4,4.8,1.9,3.7,3.7,4.2,4.1,18,3
E-02087,2024-06-30,3.7,4.4,3.0,4.3,2.9,4.1,3.7,70,6
E-02088,2024-06-30,3.9,4.3,2.7,3.8,2.9,4.3,4.3,87,4
E-02089,2024-06-30,3.8,4.6,4.0,4.0,4.2,4.2,3.9,57,4
E-02090,2024-06-30,4.7,3.0,3.3,4.0,2.2,4.1,4.3,93,6
E-02091,2024-06-30,4.2,4.3,3.3,3.9,3.2,3.6,4.1,23,6
E-02092,2024-06-30,4.2,3.3,3.5,3.9,3.0,4.1,3.4,95,6
E-02093,2024-06-30,4.3,4.0,2.9,3.2,2.8,3.9,3.0,36,5
E-02094,2024-06-30,3.4,3.8,4.6,4.2,2.4,3.7,4.1,88,4
E-02095,2024-06-30,4.5,4.3,4.4,4.2,2.6,4.2,4.0,35,9
E-02096,2024-06-30,4.0,4.1,4.6,3.9,2.8,4.2,3.4,24,6
E-02097,2024-06-30,4.3,4.7,4.0,4.3,3.3,4.1,4.1,20,4
E-02098,2024-06-30,3.5,3.7,3.5,4.8,3.5,4.2,4.4,23,4
E-02099,2024-06-30,3.2,4.4,4.6,4.2,1.9,4.0,3.5,13,7
E-02100,2024-06-30,4.4,4.1,3.0,4.7,2.3,3.9,3.0,68,6
E-02101,2024-06-30,4.2,3.2,2.9,5.1,3.3,4.5,4.2,45,6
E-02102,2024-06-30,3.5,3.5,3.1,5.2,3.4,4.0,4.3,59,5
E-02103,2024-06-30,3.6,3.9,3.9,3.7,2.1,3.2,3.5,41,2
E-02104,2024-06-30,4.6,4.6,3.0,3.7,3.5,3.3,4.1,87,2
E-02105,2024-06-30,3.4,4.2,3.4,4.0,3.0,4.4,3.9,68,7
E-02106,2024-06-30,4.8,3.4,2.4,4.3,3.4,3.4,3.8,76,8
E-02107,2024-06-30,3.5,3.9,3.8,4.8,2.5,3.8,4.0,46,3
E-02108,2024-06-30,4.3,5.0,2.4,4.5,2.2,3.6,3.6,58,6
E-02109,2024-06-30,3.8,4.1,2.8,3.7,2.8,3.9,3.4,32,5
E-02110,2024-06-30,4.3,3.8,4.4,4.0,2.8,4.1,4.0,45,8
E-02111,2024-06-30,3.7,4.2,4.3,4.2,2.8,3.8,3.9,95,5
E-02112,2024-06-30,3.9,4.4,3.8,3.6,2.8,3.8,2.8,59,3
E-02113,2024-06-30,4.0,3.8,3.7,4.2,4.0,4.2,3.3,10,3
E-02114,2024-06-30,3.5,4.3,3.1,3.7,2.0,4.8,3.5,59,3
E-02115,2024-06-30,4.4,3.8,3.0,3.5,2.5,4.2,4.0,23,5
E-02116,2024-06-30,3.7,4.4,3.2,3.8,2.7,3.7,3.2,67,3
E-02117,2024-06-30,3.9,4.1,2.4,4.4,3.0,4.3,3.7,90,8
E-02118,2024-06-30,3.5,4.2,3.7,4.4,3.4,4.5,4.6,24,4
E-02119,2024-06-30,2.7,3.6,3.5,4.2,3.5,4.3,3.8,68,6
E-02120,2024-06-30,3.9,3.6,2.8,4.6,3.6,3.5,3.9,90,3
E-02121,2024-06-30,5.2,4.5,4.6,4.6,3.3,4.2,3.8,11,5
E-02122,2024-06-30,4.4,4.0,3.9,4.3,2.0,3.9,4.2,98,4
E-02123,2024-06-30,4.0,4.1,4.0,4.2,2.0,4.0,3.8,81,7
E-02124,2024-06-30,3.9,3.8,3.2,4.3,3.7,3.9,3.7,72,4
E-02125,2024-06-30,4.0,4.4,3.5,4.1,3.6,4.2,3.9,19,1
E-02126,2024-06-30,4.3,3.7,3.9,3.3,3.4,3.9,4.3,37,2
E-02127,2024-06-30,3.4,3.9,3.6,4.7,2.5,4.4,4.0,67,7
E-02128,2024-06-30,4.6,4.4,4.6,4.4,2.8,4.0,3.8,45,6
E-02129,2024-06-30,4.4,4.6,3.4,3.7,2.8,3.9,4.3,44,4
E-02130,2024-06-30,4.4,3.7,3.1,4.8,2.4,4.2,3.6,89,4
E-02131,2024-06-30,4.2,5.0,3.9,4.0,3.2,4.1,2.5,90,2
E-02132,2024-06-30,4.0,4.2,2.6,4.2,4.3,4.2,4.0,61,6
E-02133,2024-06-30,4.3,3.5,4.1,4.6,2.7,4.0,4.0,74,3
E-02134,2024-06-30,4.3,4.2,2.6,4.3,3.8,4.4,3.6,95,5
E-02135,2024-06-30,3.8,3.8,3.9,4.7,2.5,4.3,3.7,77,5
E-02136,2024-06-30,3.7,4.2,3.0,4.1,2.1,4.0,4.3,69,6
E-02137,2024-06-30,4.1,4.0,3.8,4.9,3.6,4.2,4.0,36,5
E-02138,2024-06-30,4.8,4.0,4.1,3.9,2.9,3.9,4.4,30,3
E-02139,2024-06-30,3.4,3.5,3.6,4.7,3.8,4.2,3.9,84,2
E-02140,2024-06-30,3.3,4.5,2.7,3.3,3.9,4.2,3.7,40,4
E-02141,2024-06-30,4.1,3.4,2.9,3.8,2.8,4.1,4.1,77,5
E-02142,2024-06-30,4.0,3.4,3.0,4.3,3.8,3.8,3.9,96,6
E-02143,2024-06-30,4.1,4.2,2.2,4.0,2.5,3.6,4.0,53,7
E-02144,2024-06-30,4.1,4.8,4.3,4.2,2.5,4.1,3.7,33,8
E-02145,2024-06-30,3.9,3.8,3.6,4.2,3.6,3.8,3.6,20,2
E-02146,2024-06-30,4.7,4.4,2.7,3.7,2.1,4.3,3.6,46,0
E-02147,2024-06-30,3.2,4.5,4.5,3.8,3.0,3.5,4.0,21,3
E-02148,2024-06-30,3.6,4.4,3.0,4.3,3.7,4.4,4.1,71,6
E-02149,2024-06-30,3.9,3.8,3.7,3.9,3.8,4.0,2.7,62,4
E-02150,2024-06-30,3.2,3.5,2.9,4.7,2.7,3.7,3.5,19,4
E-02151,2024-06-30,3.9,2.9,2.1,4.1,3.6,3.9,3.2,63,4
E-02152,2024-06-30,4.8,3.9,2.5,4.5,2.3,3.9,3.6,39,5
E-02153,2024-06-30,4.0,4.6,3.2,4.4,2.6,4.1,3.6,24,2
E-02154,2024-06-30,4.1,3.4,4.1,4.0,3.1,3.6,3.9,80,4
E-02155,2024-06-30,3.4,4.4,3.7,3.4,3.2,3.7,3.9,41,4
E-02156,2024-06-30,3.7,3.5,3.6,4.7,2.4,3.9,4.7,49,2
E-02157,2024-06-30,3.8,4.1,2.1,3.8,4.1,4.0,3.9,80,6
E-02158,2024-06-30,3.8,4.4,4.4,4.0,1.9,4.2,4.1,15,3
E-02159,2024-06-30,4.6,3.7,3.7,4.1,3.0,4.1,3.2,53,8
E-02160,2024-06-30,4.3,4.1,3.4,4.2,3.1,3.9,3.7,71,5
E-02161,2024-06-30,3.4,3.8,4.3,4.6,2.0,4.1,3.4,88,7
E-02162,2024-06-30,4.1,4.4,4.4,4.2,3.8,4.0,4.0,57,9
E-02163,2024-06-30,4.2,4.1,4.3,4.1,2.6,3.9,3.8,79,4
E-02164,2024-06-30,4.6,4.0,3.3,4.6,3.1,4.0,3.7,36,5
E-02165,2024-06-30,4.8,4.8,2.8,4.4,3.2,3.4,4.2,59,2
E-02166,2024-06-30,3.5,4.3,4.2,3.9,2.1,4.3,3.7,50,7
E-02167,2024-06-30,3.6,3.7,2.5,3.7,2.4,4.2,4.3,51,3
E-02168,2024-06-30,3.4,4.0,4.9,3.9,3.9,4.4,4.3,77,2
E-02169,2024-06-30,3.9,4.0,3.5,4.2,3.0,3.8,3.5,24,2
E-02170,2024-06-30,4.2,4.0,2.8,3.7,1.4,4.2,4.2,89,2
E-02171,2024-06-30,4.5,5.3,2.6,4.2,2.8,3.4,3.8,88,3
E-02172,2024-06-30,4.0,4.2,2.6,4.1,3.0,3.5,3.6,94,5
E-02173,2024-06-30,3.8,3.0,3.6,3.2,3.1,3.9,4.0,62,6
E-02174,2024-06-30,4.1,3.7,3.5,3.6,1.8,3.8,3.2,96,5
E-02175,2024-06-30,3.6,3.0,2.6,3.0,3.0,4.3,3.6,34,0
E-02176,2024-06-30,5.0,3.8,3.3,4.1,2.5,4.4,4.0,69,4
E-02177,2024-06-30,3.2,3.0,2.5,4.6,3.1,4.4,3.7,18,6
E-02178,2024-06-30,4.1,3.6,3.9,3.4,3.3,4.2,4.2,63,3
E-02179,2024-06-30,5.0,3.2,3.5,3.7,3.2,4.2,3.6,41,2
E-02180,2024-06-30,4.0,4.2,3.2,4.1,3.8,3.6,3.8,72,6
E-02181,2024-06-30,3.9,4.0,2.6,3.8,4.3,4.4,3.8,78,6
E-02182,2024-06-30,3.8,4.2,3.3,3.8,2.3,4.4,3.2,46,9
E-02183,2024-06-30,3.9,3.9,3.2,4.4,2.8,3.6,4.0,30,6
E-02184,2024-06-30,4.7,3.3,3.7,4.0,3.4,4.1,3.9,73,3
E-02185,2024-06-30,2.9,4.3,3.6,3.6,2.9,3.8,3.0,10,5
E-02186,2024-06-30,4.8,5.0,4.1,3.4,1.4,4.6,2.8,80,5
E-02187,2024-06-30,3.3,4.2,3.2,5.1,2.9,3.7,3.6,79,4
E-02188,2024-06-30,3.9,3.8,2.2,4.7,3.7,4.0,4.3,92,5
E-02189,2024-06-30,3.8,3.3,4.2,4.0,2.2,4.1,4.9,49,2
E-02190,2024-06-30,4.3,3.5,2.8,4.2,3.1,4.0,3.1,23,3
E-02191,2024-06-30,3.2,4.2,2.7,4.0,1.9,4.6,4.5,15,5
E-02192,2024-06-30,4.2,4.5,3.5,4.4,3.5,4.5,4.3,68,4
E-02193,2024-06-30,5.0,4.1,3.7,3.9,3.1,3.5,3.6,18,1
E-02194,2024-06-30,3.3,4.4,3.1,4.0,2.7,4.1,4.6,81,2
E-02195,2024-06-30,4.1,4.4,3.1,4.4,2.7,4.0,4.0,95,13
E-02196,2024-06-30,3.7,4.3,3.2,4.8,2.1,4.3,3.7,81,6
E-02197,2024-06-30,4.2,3.7,4.5,4.5,3.6,4.1,3.1,71,2
E-02198,2024-06-30,4.0,4.1,3.5,4.7,2.5,3.8,3.8,43,4
E-02199,2024-06-30,3.7,3.6,2.8,4.1,3.3,3.7,3.8,18,13
E-02200,2024-06-30,4.2,4.0,2.8,4.0,2.4,3.9,4.7,83,7
E-02201,2024-06-30,4.9,4.2,3.3,3.4,4.3,4.0,3.4,31,3
E-02202,2024-06-30,3.9,4.8,3.7,4.2,3.9,4.1,3.4,86,6
E-02203,2024-06-30,4.4,3.3,3.8,4.4,4.2,3.8,3.6,51,2
E-02204,2024-06-30,3.4,4.2,3.6,4.1,4.3,4.5,4.9,81,5
E-02205,2024-06-30,3.5,4.7,2.9,3.9,2.6,4.2,3.3,86,4
E-02206,2024-06-30,4.2,4.4,3.2,4.7,2.5,4.3,4.3,83,6
E-02207,2024-06-30,4.7,4.4,4.0,4.5,4.2,4.0,3.2,39,3
E-02208,2024-06-30,4.2,4.3,2.7,4.7,2.9,3.7,4.0,79,2
E-02209,2024-06-30,3.8,4.6,3.2,3.8,3.5,4.3,3.8,38,4
E-02210,2024-06-30,4.0,3.5,3.9,3.9,2.6,3.7,3.5,47,5
E-02211,2024-06-30,3.4,3.3,4.1,4.7,2.6,3.4,4.1,14,6
E-02212,2024-06-30,4.3,4.0,3.4,4.2,3.5,4.2,3.5,16,4
E-02213,2024-06-30,4.4,2.9,3.2,4.0,1.8,3.8,3.2,20,4
E-02214,2024-06-30,3.8,4.6,2.6,4.0,3.5,3.9,3.7,93,2
E-02215,2024-06-30,3.8,4.6,3.9,4.2,3.3,4.2,3.4,36,6
E-02216,2024-06-30,4.1,3.8,4.4,4.6,2.7,3.7,3.9,72,6
E-02217,2024-06-30,3.8,3.8,5.3,4.1,3.0,3.5,3.7,88,5
E-02218,2024-06-30,4.0,4.0,3.8,4.5,3.1,4.4,4.4,21,6
E-02219,2024-06-30,5.0,4.0,3.5,4.4,3.1,4.0,3.7,68,4
E-02220,2024-06-30,3.9,4.1,2.9,3.8,3.4,4.4,3.9,67,5
E-02221,2024-06-30,3.8,4.3,2.2,3.8,2.5,4.2,3.3,47,6
E-02222,2024-06-30,3.7,3.9,3.6,4.0,4.6,4.2,3.6,42,6
E-02223,2024-06-30,4.4,4.5,5.1,3.7,2.9,4.0,3.4,44,2
E-02224,2024-06-30,3.9,4.2,4.4,4.0,2.9,4.0,4.3,64,6
E-02225,2024-06-30,3.7,3.7,4.3,4.8,4.2,4.3,3.5,68,5
E-02226,2024-06-30,4.7,4.7,3.7,4.2,1.9,4.2,3.5,53,8
E-02227,2024-06-30,4.7,3.3,3.8,3.9,4.2,3.8,3.9,57,3
E-02228,2024-06-30,3.7,4.0,1.8,5.0,3.1,4.1,3.5,24,6
E-02229,2024-06-30,3.1,4.5,4.0,3.8,2.7,3.8,4.4,64,4
E-02230,2024-06-30,4.5,3.6,3.1,3.8,2.3,3.9,4.6,51,2
E-02231,2024-06-30,3.7,4.2,3.0,4.7,2.2,4.2,3.4,34,5
E-02232,2024-06-30,4.4,4.3,3.3,4.5,2.8,3.8,4.1,11,5
E-02233,2024-06-30,3.0,3.6,3.3,4.1,3.2,4.0,3.5,91,6
E-02234,2024-06-30,4.4,4.0,3.0,4.5,3.4,4.1,3.7,50,5
E-02235,2024-06-30,3.4,3.9,3.5,4.3,3.2,3.9,4.1,53,2
E-02236,2024-06-30,4.4,3.7,3.1,3.7,2.7,4.2,3.9,59,2
E-02237,2024-06-30,4.0,5.2,3.6,3.2,3.8,3.9,3.9,99,4
E-02238,2024-06-30,3.5,3.6,2.5,4.0,4.6,4.3,4.2,87,1
E-02239,2024-06-30,3.8,4.5,3.4,4.6,3.9,4.0,4.2,80,6
E-02240,2024-06-30,4.3,3.8,2.7,4.0,2.8,4.1,3.8,53,2
E-02241,2024-06-30,4.1,3.5,3.1,4.4,3.3,3.7,3.5,99,4
E-02242,2024-06-30,4.3,4.1,3.6,4.3,3.3,3.9,3.8,68,5
E-02243,2024-06-30,5.0,4.3,2.4,3.5,4.0,4.1,3.4,66,1
E-02244,2024-06-30,3.2,4.5,2.9,4.0,2.8,4.3,4.1,49,7
E-02245,2024-06-30,4.8,4.8,3.9,4.3,2.4,3.9,3.7,69,2
E-02246,2024-06-30,4.1,5.5,2.5,3.9,3.7,4.3,3.4,24,3
E-02247,2024-06-30,3.6,4.1,4.7,4.1,3.2,3.8,4.3,84,5
E-02248,2024-06-30,3.3,3.7,4.3,4.4,2.3,4.1,3.8,69,8
E-02249,2024-06-30,3.9,4.2,3.2,4.2,3.4,3.8,3.5,75,2
E-02250,2024-06-30,4.5,3.9,2.9,4.6,4.1,4.5,4.3,48,4
E-02251,2024-06-30,3.9,4.5,3.6,4.4,2.6,4.4,4.3,99,6
E-02252,2024-06-30,4.8,3.4,2.5,3.8,2.5,4.1,3.0,56,4
E-02253,2024-06-30,3.3,5.2,2.1,4.0,3.0,3.8,4.2,22,6
E-02254,2024-06-30,4.0,4.4,3.2,4.2,3.4,3.5,3.9,30,5
E-02255,2024-06-30,3.4,3.2,3.4,4.7,3.0,4.1,4.2,23,7
E-02256,2024-06-30,4.2,3.6,3.6,4.0,3.7,4.1,3.8,88,8
E-02257,2024-06-30,4.4,4.4,3.1,3.5,3.2,4.3,4.0,31,5
E-02258,2024-06-30,3.8,4.6,4.4,4.4,3.6,3.6,3.7,82,6
E-02259,2024-06-30,2.7,3.4,2.5,3.9,2.6,4.0,4.2,81,5
E-02260,2024-06-30,4.1,4.4,2.7,3.7,2.3,4.1,3.5,83,3
E-02261,2024-06-30,4.2,3.0,3.8,4.2,2.8,3.7,4.2,25,2
E-02262,2024-06-30,4.2,4.0,2.7,4.6,2.2,4.0,3.9,82,0
E-02263,2024-06-30,4.6,4.6,2.7,4.0,3.2,3.8,4.1,10,7
E-02264,2024-06-30,3.5,3.7,3.6,4.4,1.8,3.8,3.4,84,4
E-02265,2024-06-30,4.3,3.2,2.8,4.5,2.7,3.8,4.0,43,5
E-02266,2024-06-30,4.6,4.1,3.4,4.5,2.8,3.9,4.0,81,2
E-02267,2024-06-30,3.1,3.7,3.0,3.9,2.4,4.4,4.5,15,5
E-02268,2024-06-30,4.2,4.3,2.9,3.8,2.8,3.9,4.1,42,2
E-02269,2024-06-30,3.7,3.6,2.0,3.8,3.0,3.7,3.6,84,2
E-02270,2024-06-30,4.0,3.6,3.6,4.5,3.8,4.2,3.5,19,3
E-02271,2024-06-30,4.2,3.0,2.6,4.5,2.4,4.3,4.1,90,5
E-02272,2024-06-30,3.8,4.1,3.4,3.8,3.2,4.2,3.6,60,6
E-02273,2024-06-30,3.7,3.9,3.1,5.1,3.3,4.4,3.6,34,7
E-02274,2024-06-30,4.0,3.4,3.4,3.8,3.0,4.1,3.5,79,7
E-02275,2024-06-30,3.5,4.1,3.4,4.6,2.7,4.0,3.9,91,6
E-02276,2024-06-30,3.5,4.5,3.6,4.8,2.3,3.8,3.9,52,2
E-02277,2024-06-30,4.3,3.9,3.0,4.2,4.1,4.4,3.7,51,6
E-02278,2024-06-30,3.4,4.1,4.4,3.9,3.0,4.0,4.5,12,6
E-02279,2024-06-30,4.3,4.1,2.2,3.9,2.8,3.9,4.0,90,5
E-02280,2024-06-30,4.2,3.4,3.3,4.1,4.3,3.9,4.5,73,6
E-02281,2024-06-30,3.1,5.0,4.1,4.6,3.1,4.2,3.9,51,3
E-02282,2024-06-30,3.7,3.8,3.8,3.7,4.5,4.0,3.5,63,10
E-02283,2024-06-30,4.6,4.3,2.8,3.5,2.2,4.1,3.4,24,4
E-02284,2024-06-30,3.5,4.4,2.9,4.3,2.9,3.9,3.8,25,11
E-02285,2024-06-30,3.8,3.9,2.8,4.4,2.2,3.9,4.1,61,5
E-02286,2024-06-30,4.2,4.3,3.9,5.0,2.9,4.0,3.7,72,2
E-02287,2024-06-30,4.4,4.1,3.0,3.6,2.9,4.4,4.1,53,7
E-02288,2024-06-30,3.9,3.3,3.7,4.1,2.7,3.5,4.4,55,5
E-02289,2024-06-30,3.7,3.8,3.7,4.7,3.0,4.1,3.5,29,3
E-02290,2024-06-30,4.7,3.7,5.2,4.2,2.8,4.3,3.4,68,6
E-02291,2024-06-30,4.9,3.8,3.7,4.1,2.9,3.4,4.2,75,4
E-02292,2024-06-30,4.5,3.3,2.9,4.5,2.5,4.0,3.9,12,10
E-02293,2024-06-30,4.0,4.6,2.5,4.0,3.9,4.3,3.9,39,6
E-02294,2024-06-30,3.6,4.8,3.3,4.5,2.3,3.8,4.1,53,3
E-02295,2024-06-30,3.6,4.5,3.4,3.7,3.1,4.1,3.2,70,5
E-02296,2024-06-30,4.3,4.6,2.0,3.6,2.3,3.7,4.0,82,4
E-02297,2024-06-30,4.2,3.8,3.0,4.1,2.5,4.0,3.9,93,6
E-02298,2024-06-30,4.7,3.7,3.7,3.2,2.6,4.4,4.0,85,5
E-02299,2024-06-30,4.3,3.6,3.1,4.2,2.9,4.5,3.4,22,7
E-02300,2024-06-30,3.2,4.3,4.2,3.5,3.1,4.1,3.8,76,8
E-02301,2024-06-30,4.5,4.1,2.4,4.3,2.3,3.6,3.6,36,5
E-02302,2024-06-30,3.5,4.0,4.0,4.3,2.8,3.9,4.2,27,3
E-02303,2024-06-30,3.8,4.6,4.1,4.2,2.4,3.5,3.8,58,7
E-02304,2024-06-30,4.1,4.2,4.2,4.4,2.4,3.9,3.6,43,5
E-02305,2024-06-30,5.0,3.6,2.4,4.3,3.7,4.3,3.4,61,5
E-02306,2024-06-30,5.6,3.7,3.7,4.1,2.2,3.6,4.1,84,5
E-02307,2024-06-30,4.3,4.3,3.0,4.9,3.0,3.9,4.2,85,4
E-02308,2024-06-30,3.9,4.5,2.5,4.4,4.0,3.8,4.6,93,9
E-02309,2024-06-30,4.3,4.3,3.2,4.5,3.7,4.5,3.7,80,6
E-02310,2024-06-30,4.4,4.9,2.9,4.6,3.3,4.1,3.4,55,5
E-02311,2024-06-30,3.8,4.8,4.1,4.5,3.0,4.3,3.7,89,8
E-02312,2024-06-30,4.9,4.2,3.9,5.0,3.4,4.1,3.5,92,4
E-02313,2024-06-30,4.1,3.6,2.7,4.3,3.2,4.2,3.5,87,6
E-02314,2024-06-30,4.2,3.3,3.0,4.2,3.9,4.3,4.0,64,2
E-02315,2024-06-30,4.3,3.8,3.2,3.9,2.9,4.0,4.2,37,4
E-02316,2024-06-30,4.2,4.4,3.4,4.1,3.6,3.8,4.0,45,4
E-02317,2024-06-30,4.4,4.9,4.2,3.9,2.8,3.7,3.8,50,1
E-02318,2024-06-30,3.7,4.2,4.0,4.5,4.1,4.5,4.1,72,5
E-02319,2024-06-30,3.7,4.6,3.5,3.8,2.9,4.2,3.7,16,7
E-02320,2024-06-30,3.4,3.9,3.3,4.2,2.0,3.3,4.4,59,5
E-02321,2024-06-30,4.2,4.3,2.3,4.4,3.0,3.9,5.0,72,4
E-02322,2024-06-30,4.4,4.4,4.4,4.3,3.5,4.1,3.5,70,7
E-02323,2024-06-30,4.2,3.0,3.2,3.8,4.0,4.5,4.3,82,5
E-02324,2024-06-30,4.8,3.8,4.6,4.5,2.4,3.7,4.3,43,9
E-02325,2024-06-30,4.0,4.5,3.6,4.2,2.0,4.1,4.0,97,4
E-02326,2024-06-30,4.3,4.1,4.9,3.1,3.3,3.9,4.3,90,8
E-02327,2024-06-30,3.5,3.4,3.9,3.8,3.3,3.6,3.9,70,2
E-02328,2024-06-30,3.8,2.8,2.5,4.8,2.2,4.4,4.1,40,1
E-02329,2024-06-30,4.3,3.8,3.1,4.8,2.8,3.7,3.8,24,5
E-02330,2024-06-30,4.4,4.0,3.4,4.4,2.8,4.3,3.9,37,2
E-02331,2024-06-30,3.9,3.6,2.9,4.5,3.5,3.5,4.1,53,1
E-02332,2024-06-30,4.0,4.1,3.2,3.9,2.8,3.9,4.0,24,7
E-02333,2024-06-30,3.2,4.3,2.5,4.1,2.7,4.2,3.4,90,6
E-02334,2024-06-30,3.8,4.3,3.5,4.7,3.1,4.2,4.0,33,2
E-02335,2024-06-30,4.4,2.8,3.7,4.4,2.2,4.1,3.7,86,5
E-02336,2024-06-30,4.3,3.3,2.8,4.2,4.1,4.3,3.6,51,6
E-02337,2024-06-30,4.3,3.8,4.9,4.1,3.6,3.9,4.2,72,9
E-02338,2024-06-30,4.0,4.3,3.5,4.7,2.6,4.4,3.4,30,2
E-02339,2024-06-30,4.0,4.2,2.9,4.6,2.3,4.1,3.7,34,3
E-02340,2024-06-30,3.7,4.2,2.4,4.5,2.4,4.2,3.4,28,8
E-02341,2024-06-30,4.3,3.8,3.5,4.2,3.4,4.1,3.6,12,9
E-02342,2024-06-30,4.2,3.8,3.3,4.1,2.4,4.1,4.8,55,8
E-02343,2024-06-30,4.2,3.6,4.0,4.5,2.9,3.7,3.5,33,4
E-02344,2024-06-30,3.7,4.4,3.4,3.8,2.0,3.7,3.7,30,2
E-02345,2024-06-30,2.9,3.5,2.7,3.8,3.3,3.8,4.4,10,7
E-02346,2024-06-30,4.5,4.4,4.7,3.6,3.3,4.2,4.0,59,7
E-02347,2024-06-30,3.8,4.1,3.8,4.7,2.9,3.8,3.7,40,10
E-02348,2024-06-30,3.6,4.0,3.3,3.9,3.1,3.9,3.5,16,7
E-02349,2024-06-30,4.3,3.7,3.6,4.4,3.5,4.0,4.1,41,6
E-02350,2024-06-30,3.8,3.3,3.8,4.1,3.1,4.4,3.7,52,3
E-02351,2024-06-30,4.5,3.7,2.5,5.4,3.5,4.2,4.7,76,5
E-02352,2024-06-30,4.3,3.8,3.6,4.4,2.3,3.6,3.7,69,5
E-02353,2024-06-30,4.3,2.8,3.2,3.5,3.2,4.0,4.5,74,6
E-02354,2024-06-30,3.3,3.9,3.9,4.7,3.1,3.9,4.2,21,4
E-02355,2024-06-30,4.6,4.5,3.0,4.0,3.7,3.9,4.1,19,5
E-02356,2024-06-30,4.1,4.3,3.1,4.1,3.0,4.0,3.7,80,10
E-02357,2024-06-30,3.8,3.8,4.7,3.9,2.9,4.3,3.6,34,8
E-02358,2024-06-30,4.1,4.0,4.4,4.3,2.7,3.8,3.7,70,2
